timestamp	project_occupation	status	count
2016-05-29	Software development and technology	open	23096
2016-05-29	Writing and translation	closed	667
2016-05-29	Writing and translation	new	583
2016-05-29	Writing and translation	open	10397
2016-05-30	Business services	closed	140
2016-05-30	Business services	new	101
2016-05-30	Business services	open	2888
2016-05-30	Clerical and data entry	closed	935
2016-05-30	Clerical and data entry	new	742
2016-05-30	Clerical and data entry	open	9113
2016-05-30	Creative and multimedia	closed	1206
2016-05-30	Creative and multimedia	new	1102
2016-05-30	Creative and multimedia	open	11967
2016-05-30	None	closed	13
2016-05-30	None	new	7
2016-05-30	None	open	81
2016-05-30	Sales and marketing support	closed	423
2016-05-30	Sales and marketing support	new	477
2016-05-30	Sales and marketing support	open	6777
2016-05-30	Software development and technology	closed	1656
2016-05-30	Software development and technology	new	1598
2016-05-30	Software development and technology	open	23227
2016-05-30	Writing and translation	closed	640
2016-05-30	Writing and translation	new	542
2016-05-30	Writing and translation	open	10340
2016-05-31	Business services	closed	94
2016-05-31	Business services	new	122
